Région,AE,CAP,Cercle,Commune,NOM_ETABLISSEMENT,Localites,X,Y,CODE_ETABLISSEMENT,Localisation,CYCLE,STATUT,PRESENCE_RESTAURANT,PRESENCE_LATRINES,LATRINES_FILLES_SEPAREES,NOMBRE_LATRINES,EAU_POTABLE,GARCONS,FILLES,TOTAL,NBRE ENSEIGNANTS
MOPTI,MOPTI,SEVARE,MOPTI,KOROMBANA,KORIENTZE 2°C,Korientze,-3.787,15.39,759018,,2ème cycle,Public,0,1,0,3,3) puits non tarrissable,186,91,277,6
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,DOUCOUMBO,KORI-KORI 1°C,Kori-Kori,-3.752,14.41,708008,,1er cycle,Public,1,1,0,3,2) forage fonctionnel,93,112,205,6
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,PIGNARI BANA,KORI-MAOUNDE,Korimaoude,-3.777,14.45,961878,,1er cycle,Public,1,0,,,5) pas de point d'eau,91,87,178,5
MOPTI,MOPTI,YOUVAROU,YOUWAROU,DONGO,KORMOU,Kormou,-4.22054,15.67280,770005,,1er cycle,Public,1,1,1,6,5) pas de point d'eau,63,49,112,5
MOPTI,MOPTI,YOUVAROU,YOUWAROU,DONGO,KORMOU 2°C,Kormou,-4.22054,15.67280,11023204,,2ème cycle,Public,0,0,,,5) pas de point d'eau,16,2,18,3
MOPTI,MOPTI,DJENNE,DJENNE,DERRARY,KOROBORO,Koroboro,-4.479,14.08,720053,,1er cycle,Public,1,1,0,3,4) puits tarrissable,93,78,171,3
MOPTI,DOUENTZA,KORO,KORO,KOPORO PEN,KOROLOU,Korolou,-3.366,14.22,11025458,,1er cycle,Public,0,0,,,5) pas de point d'eau,37,31,68,3
MOPTI,DOUENTZA,KORO,KORO,DOUGOUTENE II,KOROMATINTIN,Koromatintin,-3.426,13.88,1009506,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,53,47,100,3
MOPTI,DOUENTZA,KORO,KORO,DOUGOUTENE II,KOROMATINTIN MED [1er C],Koromatintin,-3.426,13.88,11025440,,1er cycle,Medersa,0,0,,,5) pas de point d'eau,81,71,152,2
MOPTI,DOUENTZA,KORO,KORO,DOUGOUTENE II,KOROMATINTIN MED [2ème C],Koromatintin,-3.426,13.88,11040793,,2ème cycle,Medersa,0,0,,,5) pas de point d'eau,6,5,11,1
MOPTI,DOUENTZA,BANKASS,BANKASS,BAYE,KOROSSOGOU,,-3.26790,13.71326,1008043,,1er cycle,Communautaire,1,0,,,5) pas de point d'eau,37,53,90,1
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,ONDOUGOU,KOROU,,-3.962239,14.026318,11023815,,1er cycle,Public,0,0,,,5) pas de point d'eau,17,33,50,1
MOPTI,DOUENTZA,BANDIAGARA,BANDIAGARA,DOUROU,KOROU 1°C,Korou,-3.456,14.3,11062450,,1er cycle,Communautaire,0,0,,,5) pas de point d'eau,52,58,110,2
MOPTI,DOUENTZA,BANKASS,BANKASS,BAYE,KOSSORO,Kossoro,-3.51,13.48,942083,,1er cycle,Public,1,1,1,6,5) pas de point d'eau,74,81,155,3
MOPTI,MOPTI,DJENNE,DJENNE,NEMA-BADENYA-KAFO,KOSSOUMA,Kossouma,-4.757,13.84,720016,,1er cycle,Public,1,1,0,3,5) pas de point d'eau,68,36,104,2
MOPTI,MOPTI,SEVARE,MOPTI,KONNA,KOTAKA,Kotaka,-4.001,14.89,759012,,1er cycle,Public,1,1,1,2,5) pas de point d'eau,54,50,104,2
